"ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","NumDealsPurchases","NumWebPurchases","NumStorePurchases","AcceptedCmp","Complain","Response"
1172,1983,"PhD","Married",92491,0,0,"01-05-2013",71,979,44,935,29,25,1,7,12,1,0,"1"
6983,1950,"Master","Divorced",38054,1,1,"01-05-2014",24,23,2,17,2,1,2,2,3,0,0,"0"
3005,1992,"Graduation","Single",83528,0,0,"01-05-2014",7,530,117,678,134,44,1,4,8,0,0,"1"
2795,1958,"Master","Single",30523,2,1,"01-07-2013",0,5,0,3,0,0,1,1,2,0,0,"0"
8372,1974,"Graduation","Married",34421,1,0,"01-07-2013",81,3,3,7,6,2,1,1,2,0,0,"0"
4692,1976,"Graduation","Married",7500,1,0,"01-08-2012",19,7,0,12,13,7,5,4,2,0,0,"1"
7118,1957,"Graduation","Married",73803,0,1,"01-08-2012",61,833,80,363,52,26,2,9,6,0,0,"1"
10175,1958,"PhD","Divorced",32173,0,1,"01-08-2013",0,18,0,2,0,0,1,1,3,0,0,"0"
4070,1969,"PhD","Married",94871,0,2,"01-09-2012",99,169,24,553,188,0,1,8,4,1,0,"1"
7034,1978,"2n Cycle","Married",25804,1,0,"01-09-2013",34,8,7,9,13,6,2,2,3,0,0,"0"
8486,1971,"Master","Together",30538,1,0,"01-10-2012",27,284,0,52,8,3,4,9,4,0,0,"0"
3202,1987,"PhD","Married",51563,0,0,"01-10-2012",60,1166,0,48,0,0,1,4,10,1,0,"0"
2882,1975,"2n Cycle","Divorced",67893,0,1,"01-10-2012",31,711,28,142,49,18,2,3,9,0,0,"0"
873,1949,"Master","Married",62845,1,1,"01-10-2012",3,1099,0,45,0,0,11,3,10,0,0,"1"
6055,1979,"Graduation","Married",71626,0,0,"01-11-2012",94,546,72,376,94,145,1,5,8,0,0,"0"
5748,1965,"Graduation","Married",59754,0,1,"01-12-2012",96,115,27,44,4,146,3,5,6,0,0,"1"
6885,1977,"Graduation","Divorced",32952,1,0,"01-12-2013",36,38,0,12,3,1,1,2,3,0,0,"0"
5454,1979,"Master","Married",45057,1,0,"01-12-2013",80,37,0,7,3,0,1,2,3,0,0,"0"
6715,1948,"PhD","Single",60200,0,1,"02-01-2013",3,502,19,132,0,6,6,6,11,0,0,"0"
1618,1965,"Graduation","Together",56046,0,0,"02-01-2013",9,577,0,64,0,0,2,10,8,0,0,"1"
999,1991,"Graduation","Single",86037,0,0,"02-01-2013",95,490,44,125,29,20,1,6,11,1,0,"1"
6299,1968,"PhD","Divorced",42564,0,1,"02-01-2013",28,324,48,186,39,18,6,6,4,0,0,"1"
7453,1954,"Graduation","Single",36130,0,1,"02-02-2013",46,157,43,127,68,56,6,3,4,0,0,"1"
6072,1970,"Master","Single",75345,0,0,"02-02-2013",16,918,57,842,99,38,1,5,6,0,0,"1"
498,1970,"Graduation","Single",30015,1,0,"02-02-2014",28,25,0,22,2,3,2,1,4,0,0,"0"
2295,1954,"PhD","Married",62670,0,1,"02-02-2014",57,539,30,92,80,46,1,5,13,0,0,"0"
5010,1988,"Graduation","Single",25008,1,0,"02-02-2014",72,2,8,8,6,1,2,1,3,0,0,"0"
11092,1961,"Graduation","Married",27116,1,1,"02-03-2014",78,12,1,21,2,2,2,2,3,0,0,"0"
3769,1972,"PhD","Together",NA,1,0,"02-03-2014",17,25,1,13,0,0,1,1,3,0,0,"0"
10383,1966,"Graduation","Divorced",70287,0,0,"02-04-2013",30,295,35,482,121,120,1,5,10,0,0,"1"
3762,1986,"PhD","Single",69867,0,0,"02-04-2013",30,196,0,512,33,130,1,3,8,0,0,"1"
4686,1962,"PhD","Widow",82571,0,0,"02-04-2014",28,861,31,558,62,95,0,6,13,1,0,"0"
4864,1977,"Graduation","Married",34380,1,0,"02-05-2013",68,72,7,58,13,1,4,4,3,0,0,"0"
2276,1955,"Graduation","Single",57959,0,1,"02-05-2013",71,430,16,322,43,24,5,4,11,0,0,"0"
5631,1991,"Graduation","Single",49767,0,0,"02-05-2013",92,202,47,197,55,42,1,5,8,0,0,"0"
3107,1976,"Graduation","Together",71322,0,1,"02-05-2014",31,121,24,124,24,15,1,4,7,0,0,"0"
3091,1981,"2n Cycle","Together",75774,1,0,"02-05-2014",27,340,21,134,258,14,1,7,8,0,0,"0"
3010,1989,"Master","Together",88420,0,0,"02-05-2014",87,957,153,612,99,95,1,4,8,1,0,"0"
7723,1979,"Graduation","Together",75507,0,0,"02-05-2014",56,709,93,374,104,80,1,8,6,0,0,"0"
762,1981,"2n Cycle","Together",75774,1,0,"02-05-2014",27,340,21,134,258,14,1,7,8,0,0,"0"
2963,1979,"Graduation","Together",75507,0,0,"02-05-2014",56,709,93,374,104,80,1,8,6,0,0,"0"
9432,1977,"Graduation","Together",666666,1,0,"02-06-2013",23,9,14,18,8,1,4,3,3,0,0,"0"
10509,1955,"Master","Single",36927,1,1,"02-06-2014",46,51,0,16,0,0,2,3,3,0,0,"0"
4597,1970,"PhD","Together",82072,0,0,"02-07-2013",67,889,55,685,168,92,1,3,13,0,0,"0"
7990,1947,"Graduation","Married",27469,0,0,"02-08-2012",2,9,1,2,3,2,1,0,3,0,0,"0"
2292,1985,"Graduation","Single",22327,1,0,"02-08-2013",94,5,4,8,2,0,1,1,3,0,0,"0"
1545,1986,"Graduation","Married",38508,1,0,"02-08-2013",95,120,19,206,25,19,6,7,5,0,0,"0"
8091,1956,"Graduation","Married",63943,0,1,"02-09-2012",50,423,184,368,13,97,1,6,6,0,0,"0"
6365,1987,"2n Cycle","Married",30390,0,0,"02-09-2013",5,10,12,12,25,1,1,2,3,0,0,"0"
10755,1976,"2n Cycle","Married",23718,1,0,"02-09-2013",76,6,3,14,15,7,3,3,2,0,0,"0"
7349,1973,"Basic","Together",9722,1,0,"02-10-2012",7,6,17,16,6,16,4,3,3,0,0,"1"
11003,1980,"2n Cycle","Together",25130,1,0,"02-10-2013",10,2,5,7,0,18,2,2,3,0,0,"0"
2139,1975,"Master","Married",7500,1,0,"02-10-2013",19,3,1,10,3,2,3,2,3,0,0,"0"
271,1969,"Graduation","Widow",40590,1,1,"02-10-2013",30,154,0,50,6,11,5,3,3,0,0,"0"
1729,1961,"PhD","Together",66426,0,1,"02-10-2013",14,1043,24,97,32,24,2,3,10,0,0,"0"
7369,1981,"Master","Married",36959,1,0,"02-10-2013",56,25,6,25,6,0,2,2,3,0,0,"0"
2798,1977,"PhD","Together",102160,0,0,"02-11-2012",54,763,29,138,76,176,0,7,10,1,0,"1"
10676,1982,"Graduation","Married",63211,0,0,"02-11-2012",3,145,193,459,205,26,2,3,7,0,0,"1"
4220,1970,"PhD","Married",59892,0,1,"02-11-2013",26,73,0,13,0,1,1,2,3,0,0,"0"
6637,1988,"Graduation","Single",66951,0,0,"02-11-2013",46,277,162,305,173,76,1,3,7,0,0,"0"
6173,1979,"Graduation","Together",77298,0,1,"02-11-2013",46,425,115,292,23,35,1,6,11,0,0,"0"
9316,1952,"Basic","Together",13084,0,0,"02-11-2013",29,2,0,7,3,7,1,1,3,0,0,"0"
8805,1960,"Graduation","Single",48904,0,1,"02-12-2012",1,283,10,38,0,13,4,7,4,0,0,"0"
3503,1950,"Graduation","Divorced",82460,0,0,"02-12-2013",78,255,47,573,52,32,1,5,6,0,0,"0"
10584,1976,"Graduation","Married",65665,0,1,"02-12-2013",77,225,162,387,106,36,1,5,8,0,0,"0"
11030,1976,"Master","Married",33181,1,0,"03-01-2014",90,9,0,3,0,0,1,1,2,0,0,"0"
8318,1979,"Graduation","Together",90300,0,0,"03-01-2014",7,594,134,786,33,134,0,5,8,1,0,"0"
11025,1961,"Graduation","Married",36443,1,1,"03-02-2013",9,65,0,46,4,3,4,3,3,0,0,"0"
2387,1952,"Master","Together",43776,1,1,"03-02-2013",9,177,2,71,3,2,6,5,4,0,0,"1"
5079,1971,"Graduation","Married",NA,1,1,"03-03-2013",82,71,1,16,0,0,4,2,3,0,0,"0"
737,1949,"PhD","Married",80360,0,0,"03-03-2013",56,1493,86,454,112,43,2,4,5,1,0,"0"
9988,1976,"Master","Single",70379,0,1,"03-03-2013",84,553,25,142,65,67,3,6,13,0,0,"0"
9560,1965,"Graduation","Together",83003,0,0,"03-03-2013",18,856,61,570,40,25,1,7,8,1,0,"1"
3972,1976,"Graduation","Together",50200,1,1,"03-04-2013",70,266,6,51,8,6,6,7,5,0,0,"0"
10675,1956,"PhD","Married",66334,0,1,"03-04-2013",82,909,11,218,0,0,2,9,5,0,0,"1"
3839,1958,"Basic","Single",15056,1,1,"03-05-2013",76,6,12,3,21,6,5,2,3,0,0,"0"
8015,1962,"PhD","Divorced",85696,0,0,"03-05-2013",88,714,76,395,116,0,1,4,9,0,0,"1"
1745,1962,"PhD","Divorced",85696,0,0,"03-05-2013",88,714,76,395,116,0,1,4,9,0,0,"1"
1503,1976,"PhD","Together",162397,1,1,"03-06-2013",31,85,1,16,2,1,0,0,1,0,0,"0"
2437,1989,"Graduation","Married",NA,0,0,"03-06-2013",69,861,138,461,60,30,1,6,12,0,0,"0"
4278,1983,"PhD","Single",87188,0,0,"03-06-2013",73,910,111,724,49,74,1,10,6,0,0,"1"
6906,1953,"Master","Widow",84953,0,0,"03-06-2013",73,167,48,602,63,72,1,3,4,1,0,"1"
7514,1956,"2n Cycle","Together",54342,1,1,"03-07-2013",74,84,10,34,11,10,4,3,4,0,0,"0"
6421,1961,"Graduation","Together",88347,0,0,"03-07-2013",32,1050,178,555,77,138,1,4,9,0,0,"0"
10582,1979,"Graduation","Married",72063,0,1,"03-07-2013",3,180,32,348,76,32,2,5,12,0,0,"0"
5346,1973,"2n Cycle","Married",23559,1,0,"03-07-2013",87,25,5,19,7,0,3,3,3,0,0,"0"
2223,1965,"2n Cycle","Divorced",64176,0,1,"03-08-2012",52,1215,33,249,64,116,8,8,8,0,0,"0"
9094,1955,"2n Cycle","Married",62972,0,1,"03-08-2012",39,313,15,47,20,0,2,7,3,0,0,"1"
10971,1977,"Graduation","Single",37774,2,0,"03-09-2012",28,173,8,107,7,2,4,7,3,0,1,"1"
6856,1979,"Graduation","Together",21645,1,0,"03-09-2012",75,14,0,23,4,5,3,3,3,0,0,"1"
1631,1965,"PhD","Together",65220,0,0,"03-09-2012",3,890,63,292,0,25,4,8,7,0,0,"1"
7002,1955,"Graduation","Single",62535,0,1,"03-10-2013",13,163,48,90,0,45,1,3,8,0,0,"0"
10270,1981,"2n Cycle","Married",35523,1,0,"03-10-2013",8,11,5,22,12,5,2,3,3,0,0,"0"
8140,1973,"Graduation","Together",22682,1,0,"03-10-2013",51,10,14,29,4,2,3,2,4,0,0,"0"
1921,1967,"PhD","Married",59062,2,1,"03-10-2013",74,46,1,12,3,0,2,2,3,0,0,"0"
4240,1978,"Graduation","Married",17345,1,0,"03-11-2012",79,4,9,16,17,0,2,2,2,0,0,"0"
2156,1955,"PhD","Married",22554,1,1,"03-11-2012",38,27,0,10,0,0,4,2,4,0,0,"0"
2278,1985,"2n Cycle","Single",33812,1,0,"03-11-2012",86,4,17,19,30,24,2,2,3,0,0,"0"
5907,1952,"Master","Married",33444,1,1,"03-11-2012",24,8,0,8,0,0,1,1,2,0,0,"0"
6730,1954,"Graduation","Married",38998,1,1,"03-11-2012",92,34,1,14,0,0,3,2,3,0,1,"0"
9097,1956,"Graduation","Divorced",46086,0,1,"03-11-2013",34,244,8,32,7,2,4,3,8,0,0,"0"
3281,1960,"PhD","Married",49154,1,1,"03-11-2013",69,206,10,67,30,27,6,4,8,0,0,"0"
10888,1961,"Graduation","Single",45938,0,0,"03-11-2013",46,273,11,178,62,83,2,8,6,0,0,"0"
4136,1992,"Basic","Single",7500,1,0,"03-12-2012",63,10,17,18,8,26,4,3,2,0,0,"0"
11112,1966,"Graduation","Together",70713,0,1,"03-12-2012",23,736,114,279,82,76,6,5,8,0,0,"0"
22,1976,"Graduation","Divorced",46310,1,0,"03-12-2012",99,185,2,88,15,5,2,6,5,0,0,"0"
10619,1994,"Graduation","Single",95529,0,0,"03-12-2012",29,770,29,890,250,27,1,7,7,1,0,"1"
4368,1980,"Graduation","Married",47850,1,0,"03-12-2013",72,42,7,43,20,12,1,3,4,0,0,"0"
1509,1958,"PhD","Together",84460,0,0,"04-01-2013",80,152,27,103,106,54,0,9,4,1,0,"1"
2564,1953,"Graduation","Together",61278,0,1,"04-01-2014",87,111,3,28,2,6,2,3,4,0,0,"0"
3732,1955,"Master","Married",52750,0,1,"04-02-2013",72,393,0,239,90,69,6,5,9,0,0,"0"
6295,1977,"Graduation","Married",54233,0,1,"04-02-2013",46,652,8,158,21,0,4,11,5,0,0,"0"
1362,1972,"Graduation","Single",31907,0,0,"04-03-2013",75,33,87,64,175,16,1,6,6,0,0,"0"
5386,1953,"Graduation","Together",94384,0,0,"04-03-2013",62,1111,24,790,160,45,0,5,5,1,0,"1"
6059,1953,"PhD","Together",64504,1,2,"04-03-2013",81,986,36,168,16,0,7,11,4,0,0,"1"
6024,1953,"Graduation","Together",94384,0,0,"04-03-2013",62,1111,24,790,160,45,0,5,5,1,0,"1"
902,1980,"Graduation","Together",62994,1,0,"04-03-2014",74,224,12,48,4,12,1,6,4,0,0,"0"
2875,1978,"Graduation","Married",67023,0,0,"04-03-2014",93,444,44,382,11,8,1,3,13,0,1,"0"
641,1967,"Graduation","Single",52074,0,1,"04-04-2014",77,59,0,12,0,0,1,2,2,0,0,"0"
738,1981,"2n Cycle","Single",42395,1,1,"04-04-2014",35,48,13,57,24,15,4,3,4,0,0,"0"
4988,1948,"PhD","Married",34469,1,1,"04-05-2014",58,19,6,20,0,5,3,1,4,0,0,"0"
5987,1989,"2n Cycle","Together",10404,1,0,"04-05-2014",52,2,2,11,10,6,2,1,4,0,0,"0"
10037,1993,"Graduation","Single",74293,0,0,"04-05-2014",66,375,152,335,93,91,1,5,6,0,0,"0"
3130,1964,"Graduation","Single",18701,1,1,"04-06-2013",95,12,4,2,10,6,4,2,4,0,0,"0"
2661,1964,"Graduation","Single",18701,1,1,"04-06-2013",95,12,4,2,10,6,4,2,4,0,0,"0"
5336,1971,"Master","Together",157733,1,0,"04-06-2013",37,39,1,9,2,0,0,1,1,0,0,"0"
7822,1976,"Graduation","Together",54058,0,1,"04-06-2013",56,198,18,252,32,108,2,4,8,0,0,"0"
1361,1974,"Master","Married",82584,0,0,"04-06-2013",26,1076,68,103,29,91,1,3,8,1,0,"1"
7788,1983,"PhD","Married",23536,1,0,"04-06-2014",53,6,0,3,0,0,1,0,3,0,0,"0"
6918,1989,"Graduation","Married",28691,1,0,"04-07-2013",56,5,4,13,8,0,1,1,3,0,0,"0"
6853,1982,"Master","Single",75777,0,0,"04-07-2013",12,712,26,538,69,13,1,3,11,1,0,"1"
7366,1982,"Master","Single",75777,0,0,"04-07-2013",12,712,26,538,69,13,1,3,11,1,0,"1"
1291,1978,"PhD","Together",27683,1,0,"04-08-2012",90,152,9,121,12,12,4,6,4,0,0,"0"
564,1981,"PhD","Together",56937,1,0,"04-08-2012",81,746,8,125,11,8,7,8,9,0,0,"1"
3524,1971,"Master","Single",39763,1,0,"04-08-2013",9,80,1,60,4,6,2,5,2,0,0,"1"
1440,1978,"2n Cycle","Together",52513,0,0,"04-09-2012",84,367,17,241,104,188,2,9,9,0,0,"0"
5524,1957,"Graduation","Single",58138,0,0,"04-09-2012",58,635,88,546,172,88,3,8,4,0,0,"1"
2674,1958,"Master","Single",75154,0,1,"04-09-2012",79,543,10,205,160,143,1,6,6,0,0,"1"
8442,1985,"Master","Married",19510,2,0,"04-09-2013",63,9,0,7,3,4,2,1,3,0,0,"0"
3007,1966,"Graduation","Together",37758,1,1,"04-10-2012",49,27,2,10,0,0,2,1,3,0,0,"0"
7230,1960,"PhD","Divorced",50611,0,1,"04-10-2012",98,459,0,24,6,0,6,4,7,0,0,"1"
4557,1970,"Graduation","Together",22070,1,0,"04-10-2013",11,10,7,19,8,2,2,2,2,0,0,"0"
6507,1980,"Graduation","Single",30828,1,0,"04-10-2013",16,16,11,15,2,0,2,1,4,0,0,"0"
9449,1958,"PhD","Single",79761,0,1,"04-10-2013",32,415,5,124,15,35,1,5,11,0,0,"0"
1321,1974,"Graduation","Married",26067,1,0,"04-11-2013",49,22,2,18,0,2,3,3,3,0,0,"0"
4599,1976,"Master","Married",49681,0,2,"04-11-2013",66,411,0,26,0,0,6,7,7,0,0,"0"
7284,1953,"Graduation","Married",48686,1,2,"04-12-2013",8,10,0,7,2,0,1,1,2,0,0,"0"
5341,1962,"2n Cycle","Divorced",81975,0,1,"05-01-2013",2,983,76,184,180,138,1,6,4,1,0,"0"
10061,1950,"Graduation","Married",59462,0,1,"05-01-2013",29,724,17,143,0,8,2,9,12,0,0,"0"
9076,1980,"PhD","Married",30732,1,0,"05-01-2013",44,155,1,25,0,1,4,4,4,0,0,"0"
8182,1984,"Graduation","Married",23228,1,0,"05-01-2014",91,53,3,49,7,4,4,3,4,0,0,"0"
10469,1981,"Graduation","Together",88325,0,0,"05-02-2014",42,519,71,860,93,27,1,6,9,0,0,"0"
8581,1971,"Master","Married",49505,1,1,"05-03-2013",4,604,0,100,19,0,9,10,8,0,0,"0"
9362,1965,"Graduation","Single",69263,0,1,"05-03-2014",14,492,5,32,13,5,1,9,7,0,0,"0"
4442,1961,"Graduation","Single",46524,0,1,"05-04-2013",70,31,19,35,26,14,2,1,5,0,0,"0"
6214,1982,"Master","Married",43815,1,0,"05-04-2013",53,14,10,29,4,7,1,2,3,0,0,"0"
803,1968,"Graduation","Together",40521,1,1,"05-04-2013",82,12,0,5,0,0,1,0,2,0,0,"0"
5731,1983,"Master","Married",27100,1,0,"05-04-2013",64,12,0,13,2,0,1,1,3,0,0,"0"
10089,1974,"Graduation","Divorced",102692,0,0,"05-04-2013",5,168,148,444,32,172,1,6,13,1,0,"1"
8746,1989,"Graduation","Married",75433,1,0,"05-04-2014",28,800,0,297,0,34,2,2,10,0,0,"0"
3194,1974,"PhD","Single",71466,0,0,"05-04-2014",86,412,12,546,78,182,1,4,10,0,0,"0"
9493,1980,"PhD","Single",76412,0,0,"05-05-2013",15,840,53,804,23,71,1,5,8,1,0,"1"
10420,1955,"Master","Divorced",46390,0,1,"05-05-2014",56,95,14,64,2,9,1,4,3,0,0,"0"
6528,1982,"Master","Together",18492,1,0,"05-06-2014",75,2,2,2,2,1,1,1,2,0,0,"0"
7411,1964,"PhD","Married",31686,1,1,"05-06-2014",31,11,0,5,0,0,2,1,3,0,0,"0"
6116,1968,"2n Cycle","Married",48985,0,1,"05-07-2013",13,19,13,18,10,7,1,1,3,0,0,"0"
966,1966,"Graduation","Married",44529,0,1,"05-07-2013",98,538,13,91,17,6,6,6,11,0,0,"0"
10381,1979,"Graduation","Single",47691,0,1,"05-07-2013",43,14,0,3,0,0,1,1,2,0,0,"0"
10542,1968,"PhD","Married",36778,1,1,"05-08-2012",63,29,4,34,2,4,3,3,3,0,0,"0"
7620,1990,"Basic","Single",16185,1,0,"05-08-2013",71,5,11,16,21,8,2,2,2,0,0,"0"
2406,1949,"Graduation","Together",54591,0,1,"05-08-2013",63,376,4,94,12,9,3,6,8,0,0,"0"
1911,1987,"Graduation","Together",67430,0,0,"05-09-2012",6,595,97,291,127,133,1,11,12,0,0,"0"
10640,1974,"Graduation","Together",44392,1,1,"05-09-2013",71,87,5,71,7,12,5,4,4,0,0,"0"
1964,1951,"Graduation","Together",86610,0,0,"05-09-2013",66,446,107,768,33,196,1,5,6,0,0,"0"
4808,1956,"Graduation","Married",15759,0,0,"05-09-2013",12,1,2,5,6,0,1,1,2,0,0,"0"
6202,1960,"Graduation","Together",63381,0,1,"05-10-2012",78,571,50,142,33,50,4,4,13,0,0,"0"
9771,1988,"2n Cycle","Single",23331,1,0,"05-10-2012",97,104,20,101,24,15,6,5,5,0,0,"0"
10311,1969,"Graduation","Married",4428,0,1,"05-10-2013",0,16,4,12,2,4,0,25,0,0,0,"0"
10099,1984,"Graduation","Married",55434,1,0,"05-10-2013",21,238,115,215,169,69,3,5,13,0,0,"0"
9260,1945,"PhD","Married",70356,0,0,"05-11-2012",20,1349,16,249,43,16,2,10,9,0,0,"0"
1990,1974,"PhD","Single",63159,0,0,"05-11-2012",74,965,34,586,89,86,1,3,8,0,0,"0"
7281,1959,"PhD","Single",NA,0,0,"05-11-2013",80,81,11,50,3,2,1,1,4,0,0,"0"
10232,1963,"PhD","Divorced",48799,0,1,"05-11-2013",9,174,18,81,28,6,3,3,7,0,0,"0"
9120,1962,"Graduation","Single",66565,0,1,"05-12-2012",80,747,10,161,65,40,4,4,9,0,0,"0"
1077,1974,"Graduation","Together",56715,0,0,"05-12-2012",52,258,105,239,237,172,1,7,4,0,0,"0"
10913,1984,"Master","Single",31385,1,0,"05-12-2012",56,3,2,12,0,1,1,1,2,0,0,"1"
9119,1950,"Graduation","Together",60905,0,1,"05-12-2013",27,208,17,76,36,17,2,3,7,0,0,"0"
6049,1982,"Master","Together",73450,0,0,"05-12-2013",85,1142,51,415,90,69,1,7,11,0,0,"0"
123,1951,"Graduation","Widow",67046,0,1,"06-01-2013",92,544,35,133,23,151,2,4,4,0,0,"0"
10967,1963,"Graduation","Divorced",33378,1,1,"06-02-2013",38,33,6,40,3,7,3,2,4,0,0,"0"
10821,1978,"Graduation","Married",57113,1,1,"06-02-2013",45,182,4,33,0,2,6,4,5,0,0,"0"
6320,1976,"Master","Single",70893,0,0,"06-02-2013",42,768,44,561,77,44,1,6,10,0,0,"0"
2666,1972,"Master","Married",76234,0,1,"06-02-2014",21,519,50,167,130,0,1,8,11,0,0,"0"
1139,1984,"PhD","Married",73356,0,0,"06-02-2014",56,1050,14,322,0,14,1,5,5,1,0,"1"
9697,1951,"Graduation","Married",53790,0,2,"06-03-2014",86,335,42,127,28,5,3,7,8,0,0,"0"
1857,1952,"Graduation","Single",47139,1,1,"06-03-2014",2,46,0,12,0,2,2,2,2,0,0,"1"
3483,1958,"Graduation","Married",48192,0,0,"06-04-2013",76,1039,43,204,153,58,3,2,12,0,0,"1"
6336,1960,"Graduation","Married",29315,1,1,"06-04-2014",55,13,2,14,8,7,4,2,4,0,0,"0"
6488,1959,"PhD","Married",38829,0,1,"06-04-2014",86,76,0,7,0,0,1,3,2,0,0,"0"
10127,1965,"Graduation","Married",58692,0,1,"06-04-2014",21,301,11,61,4,7,1,8,4,0,0,"0"
10258,1965,"Master","Single",35791,2,1,"06-05-2013",94,27,0,5,0,0,2,1,3,0,0,"0"
8687,1978,"Graduation","Together",53172,0,1,"06-05-2013",54,121,62,90,68,20,3,2,8,0,0,"0"
8953,1965,"Master","Single",35791,2,1,"06-05-2013",94,27,0,5,0,0,2,1,3,0,0,"0"
3517,1952,"Graduation","Single",40887,1,1,"06-05-2013",32,50,4,44,10,10,3,3,3,0,0,"1"
10795,1973,"PhD","Married",37401,1,0,"06-05-2014",14,19,3,19,3,1,2,2,3,0,0,"0"
4855,1974,"PhD","Together",30351,1,0,"06-06-2013",19,14,0,24,3,3,1,3,2,0,0,"1"
6349,1987,"Master","Divorced",61787,0,0,"06-07-2013",71,621,73,414,78,48,1,8,6,0,0,"0"
7873,1973,"PhD","Together",63516,1,1,"06-07-2013",30,141,11,114,15,14,4,4,7,0,0,"0"
8147,1960,"Graduation","Married",31454,1,1,"06-07-2013",40,28,0,11,0,0,3,2,3,0,0,"0"
2715,1966,"Master","Divorced",29435,1,1,"06-08-2012",11,70,3,37,4,2,4,3,2,0,0,"1"
500,1977,"Graduation","Together",96876,0,0,"06-08-2013",79,908,43,735,40,194,1,7,9,1,0,"1"
3469,1977,"PhD","Divorced",34487,1,1,"06-09-2012",94,19,18,33,24,1,3,3,3,0,0,"0"
10010,1953,"PhD","Divorced",36957,1,1,"06-09-2012",43,100,2,16,2,1,4,3,2,0,0,"1"
4023,1970,"Graduation","Married",22979,1,0,"06-09-2012",29,16,17,19,20,21,3,3,2,0,0,"1"
4227,1968,"Master","Together",32889,1,1,"06-09-2013",78,28,0,13,4,2,3,2,3,0,0,"0"
793,1973,"Graduation","Married",20895,1,0,"06-10-2012",24,18,3,17,3,0,1,2,3,0,0,"0"
7441,1973,"Graduation","Divorced",71128,1,0,"06-10-2012",80,958,159,447,20,0,3,2,12,0,0,"0"
8722,1957,"2n Cycle","Married",82347,0,0,"06-11-2012",38,556,54,845,202,133,1,7,10,0,0,"1"
7901,1971,"Master","Married",34109,0,1,"06-11-2013",39,9,1,5,2,1,1,0,3,0,0,"0"
7143,1955,"2n Cycle","Together",74805,0,1,"06-11-2013",14,209,162,209,41,162,5,4,10,0,0,"0"
701,1971,"Graduation","Married",73691,0,1,"06-11-2013",58,707,21,250,85,43,2,6,8,0,0,"0"
3798,1968,"Graduation","Married",41120,1,1,"06-11-2013",80,24,2,23,0,8,3,2,3,0,0,"0"
9504,1949,"Master","Married",81698,0,0,"06-11-2013",4,179,28,520,111,123,1,3,13,0,0,"1"
4971,1962,"PhD","Together",31497,0,1,"06-12-2012",22,108,1,28,13,1,2,3,4,0,0,"0"
